CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13144595,CV2 1AP,Private Limited Company,Active,United Kingdom,NA,2021-01-19,56210 - Event catering activities,,,
13153411,CH47 9RE,Community Interest Company,Active,United Kingdom,NA,2021-01-25,01500 - Mixed farming,85520 - Cultural education,86900 - Other human health activities,
13139859,LU7 9LS,Private Limited Company,Active,United Kingdom,NA,2021-01-18,73120 - Media representation services,,,
13115141,DH8 6NH,Private Limited Company,Active,United Kingdom,NA,2021-01-06,49410 - Freight transport by road,,,
13164458,TA20 1HG,Private Limited Company,Active,United Kingdom,NA,2021-01-28,56103 - Take-away food shops and mobile food stands,,,
13165898,W1D 4EG,Private Limited Company,Active,United Kingdom,NA,2021-01-28,64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,,,
13109717,KT8 9EB,Private Limited Company,Active,United Kingdom,NA,2021-01-04,41202 - Construction of domestic buildings,,,
13119198,CM9 5DY,Private Limited Company,Active,United Kingdom,NA,2021-01-07,41202 - Construction of domestic buildings,,,
13154273,TA20 2TG,Private Limited Company,Active,United Kingdom,NA,2021-01-25,43210 - Electrical installation,43390 - Other building completion and finishing,95220 - Repair of household appliances and home and garden equipment,
13154107,NW2 7BR,Private Limited Company,Active,United Kingdom,NA,2021-01-25,80100 - Private security activities,80200 - Security systems service activities,81100 - Combined facilities support activities,
13149005,PO19 1UF,Private Limited Company,Active,United Kingdom,NA,2021-01-21,93199 - Other sports activities,,,
13164979,BS48 1UR,Private Limited Company,Active,United Kingdom,NA,2021-01-28,85590 - Other education n.e.c.,,,
13110231,ST2 7AU,Private Limited Company,Active,United Kingdom,NA,2021-01-04,"46470 - Wholesale of furniture, carpets and lighting equipment",47429 - Retail sale of telecommunications equipment other than mobile telephones,47710 - Retail sale of clothing in specialised stores,47910 - Retail sale via mail order houses or via Internet
13151210,GU16 6PU,Private Limited Company,Active,United Kingdom,NA,2021-01-21,85520 - Cultural education,,,
