CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13111668,EC2A 4NE,Private Limited Company,Active,United Kingdom,NA,2021-01-04,58110 - Book publishing,,,
13153628,NN189DQ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,
13145968,EC3N 2EX,Private Limited Company,Active,United Kingdom,NA,2021-01-20,62020 - Information technology consultancy activities,,,
13159856,BA15 1AE,Private Limited Company,Active,United Kingdom,NA,2021-01-26,55201 - Holiday centres and villages,86900 - Other human health activities,95220 - Repair of household appliances and home and garden equipment,95290 - Repair of personal and household goods n.e.c.
13137042,NW10 4HJ,Private Limited Company,Active,United Kingdom,NA,2021-01-15,82990 - Other business support service activities n.e.c.,,,
13158710,LS28 8EF,Private Limited Company,Active,United Kingdom,NA,2021-01-26,49390 - Other passenger land transport,,,
13160113,NG11 6HS,Private Limited Company,Active,United Kingdom,NA,2021-01-26,43341 - Painting,,,
13154457,TR19 7AR,Private Limited Company,Active,United Kingdom,NA,2021-01-25,47710 - Retail sale of clothing in specialised stores,58210 - Publishing of computer games,59112 - Video production activities,59200 - Sound recording and music publishing activities
13157002,IG9 5TN,Private Limited Company,Active,United Kingdom,NA,2021-01-25,41100 - Development of building projects,,,
13115755,DA13 0QB,Private Limited Company,Active,United Kingdom,NA,2021-01-06,96090 - Other service activities n.e.c.,,,
13167009,KT2 6BU,Private Limited Company,Active,United Kingdom,NA,2021-01-29,"43220 - Plumbing, heat and air-conditioning installation",,,
13153897,CV6 5NN,Private Limited Company,Active,United Kingdom,NA,2021-01-25,46900 - Non-specialised wholesale trade,52290 - Other transportation support activities,,
13159125,OX2 7SS,Private Limited Company,Active,United Kingdom,NA,2021-01-26,46900 - Non-specialised wholesale trade,96090 - Other service activities n.e.c.,,
13128106,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-12,45190 - Sale of other motor vehicles,45200 - Maintenance and repair of motor vehicles,,
13164890,M2 3DE,Private Limited Company,Active,United Kingdom,NA,2021-01-28,99999 - Dormant Company,,,
13142361,W1W 5PF,Private Limited Company,Active,United Kingdom,NA,2021-01-19,82990 - Other business support service activities n.e.c.,,,
13161134,GL1 3LH,Private Limited Company,Active,United Kingdom,NA,2021-01-27,70221 - Financial management,,,
13145545,CM1 6NF,Private Limited Company,Active,United Kingdom,NA,2021-01-20,43390 - Other building completion and finishing,,,
13150367,RG1 7SN,Private Limited Company,Active,United Kingdom,NA,2021-01-21,68209 - Other letting and operating of own or leased real estate,,,
13112616,SE6 2RH,Private Limited Company,Active,United Kingdom,NA,2021-01-05,96090 - Other service activities n.e.c.,,,
13112699,CW12 4AB,Private Limited Company,Active,United Kingdom,NA,2021-01-05,22290 - Manufacture of other plastic products,25710 - Manufacture of cutlery,,
13112261,EX8 1TU,Private Limited Company,Active,United Kingdom,NA,2021-01-05,95220 - Repair of household appliances and home and garden equipment,,,
13137110,RM16 6PS,Private Limited Company,Active,United Kingdom,NA,2021-01-15,"47990 - Other retail sale not in stores, stalls or markets",,,
NI675940,BT35 6JF,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47910 - Retail sale via mail order houses or via Internet,,,
13134759,KT15 2HJ,Private Limited Company,Active,United Kingdom,NA,2021-01-14,68209 - Other letting and operating of own or leased real estate,,,
13161630,CV4 9GQ,Private Limited Company,Active,United Kingdom,NA,2021-01-27,90030 - Artistic creation,,,
13156234,EN4 8QZ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,59200 - Sound recording and music publishing activities,,,
13119021,IG10 4QU,Private Limited Company,Active,United Kingdom,NA,2021-01-07,82990 - Other business support service activities n.e.c.,,,
13163777,NE3 5AF,Private Limited Company,Active,United Kingdom,NA,2021-01-28,86210 - General medical practice activities,,,
SC685416,EH3 8HA,Private Limited Company,Active,United Kingdom,NA,2021-01-08,99999 - Dormant Company,,,
13161202,SW1Y 5EA,Private Limited Company,Active,United Kingdom,NA,2021-01-27,99999 - Dormant Company,,,
13143059,B3 1RB,Private Limited Company,Active,United Kingdom,NA,2021-01-19,96090 - Other service activities n.e.c.,,,
13147511,NW8 8SS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,2021-01-20,64203 - Activities of construction holding companies,71111 - Architectural activities,71122 - Engineering related scientific and technical consulting activities,74100 - specialised design activities
13165281,WC1N 3AX,Private Limited Company,Active,United Kingdom,NA,2021-01-28,99999 - Dormant Company,,,
13115768,BS1 4ND,Private Limited Company,Active,United Kingdom,NA,2021-01-06,"74909 - Other professional, scientific and technical activities n.e.c.",,,
13135122,SS7 2BT,Private Limited Company,Active,United Kingdom,NA,2021-01-14,70229 - Management consultancy activities other than financial management,,,
13153822,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,47910 - Retail sale via mail order houses or via Internet,,,
13124189,TW3 3RU,Private Limited Company,Active,United Kingdom,NA,2021-01-11,96090 - Other service activities n.e.c.,,,
13146237,NP20 2DW,Private Limited Company,Active,United Kingdom,NA,2021-01-20,"46342 - Wholesale of wine, beer, spirits and other alcoholic beverages",,,
13155582,NP12 1HZ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,42120 - Construction of railways and underground railways,,,
13157131,N14 5BP,Private Limited Company,Active,United Kingdom,NA,2021-01-25,46520 - Wholesale of electronic and telecommunications equipment and parts,47421 - Retail sale of mobile telephones,,
13148994,E7 8LT,Private Limited Company,Active,United Kingdom,NA,2021-01-21,47890 - Retail sale via stalls and markets of other goods,,,
13136904,DY6 0LG,Private Limited Company,Active,United Kingdom,NA,2021-01-15,56290 - Other food services,,,
NI675371,BT2 7SL,Private Limited Company,Active,United Kingdom,NA,2021-01-06,70221 - Financial management,,,
13123531,NR34 9TT,Private Limited Company,Active,United Kingdom,NA,2021-01-08,01470 - Raising of poultry,,,
13142119,NG19 0QL,Private Limited Company,Active,United Kingdom,NA,2021-01-18,61900 - Other telecommunications activities,,,
13142920,MK15 9BT,Private Limited Company,Active,United Kingdom,NA,2021-01-19,47190 - Other retail sale in non-specialised stores,,,
13115826,BS16 5DZ,Private Limited Company,Active,United Kingdom,NA,2021-01-06,70229 - Management consultancy activities other than financial management,,,
13128070,SA31 1QN,Private Limited Company,Active,United Kingdom,NA,2021-01-12,56102 - Unlicensed restaurants and cafes,,,
13115040,N8 7LL,Private Limited Company,Active,United Kingdom,NA,2021-01-05,56290 - Other food services,,,
13149843,IG1 1HE,Private Limited Company,Active,United Kingdom,NA,2021-01-21,49390 - Other passenger land transport,49420 - Removal services,,
13141447,EC1N 8LE,Private Limited Company,Active,United Kingdom,NA,2021-01-18,47650 - Retail sale of games and toys in specialised stores,,,
SC686535,PA4 0AY,Private Limited Company,Active,United Kingdom,NA,2021-01-20,41100 - Development of building projects,,,
13163597,PR7 2PH,Private Limited Company,Active,United Kingdom,NA,2021-01-28,46499 - Wholesale of household goods (other than musical instruments) n.e.c.,,,
SC685018,G33 4UW,Private Limited Company,Active,United Kingdom,NA,2021-01-05,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,
13135275,EC2N 2AX,Private Limited Company,Active,United Kingdom,NA,2021-01-14,64205 - Activities of financial services holding companies,,,
13138763,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-18,47910 - Retail sale via mail order houses or via Internet,,,
13130556,E2 8AA,Private Limited Company,Active,United Kingdom,NA,2021-01-13,32990 - Other manufacturing n.e.c.,47910 - Retail sale via mail order houses or via Internet,,
13121087,CT1 2YA,Private Limited Company,Active,United Kingdom,NA,2021-01-08,47710 - Retail sale of clothing in specialised stores,"47990 - Other retail sale not in stores, stalls or markets",,
13146240,W1S 3PW,Private Limited Company,Active,United Kingdom,NA,2021-01-20,07290 - Mining of other non-ferrous metal ores,,,
13120360,EC2A 4NE,Private Limited Company,Active,United Kingdom,NA,2021-01-07,"74909 - Other professional, scientific and technical activities n.e.c.",,,
13108755,S2 1WJ,Private Limited Company,Active,United Kingdom,NA,2021-01-04,73110 - Advertising agencies,,,
13138839,SK10 3LG,Private Limited Company,Active,United Kingdom,NA,2021-01-18,"84120 - Regulation of health care, education, cultural and other social services, not incl. social security",,,
13138283,PR9 0PR,Private Limited Company,Active,United Kingdom,NA,2021-01-18,68209 - Other letting and operating of own or leased real estate,,,
